CustomerID,CompanyName,ContactName,ContactTitle,OrderDate,UnitPrice,Discount,Freight,ProductName,CategoryName
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,00:00.0,35.1,0,81.91,Schoggi Schokolade,Confections
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,00:00.0,14.4,0,81.91,Chartreuse verte,Beverages
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,00:00.0,10.4,0,81.91,Original Frankfurter grüne Soße,Condiments
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,00:00.0,15.2,0.2,140.51,Chang,Beverages
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,00:00.0,17,0.2,140.51,Chef Anton's Gumbo Mix,Condiments
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,00:00.0,25.6,0.2,140.51,Mascarpone Fabioli,Dairy Products
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,00:00.0,8,0,3.25,Sir Rodney's Scones,Confections
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,00:00.0,20.8,0,3.25,Gravad lax,Seafood
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,00:00.0,7.7,0.25,55.09,Jack's New England Clam Chowder,Seafood
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,00:00.0,15.6,0,55.09,Ravioli Angelo,Grains/Cereals
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,00:00.0,39.4,0.25,55.09,Tarte au sucre,Confections
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,00:00.0,12,0.25,55.09,Outback Lager,Beverages
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,00:00.0,8,0,3.05,Sir Rodney's Scones,Confections
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,00:00.0,14.4,0,3.05,Steeleye Stout,Beverages
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,17,0.2,48.29,Chef Anton's Gumbo Mix,Condiments
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,24,0,48.29,Uncle Bob's Organic Dried Pears,Produce
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,30.4,0,48.29,Gnocchi di nonna Alice,Grains/Cereals
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,00:00.0,13.9,0.25,146.06,Pavlova,Confections
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,00:00.0,3.6,0,146.06,Guaraná Fantástica,Beverages
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,00:00.0,20.7,0.25,146.06,Nord-Ost Matjeshering,Seafood
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,00:00.0,8,0.25,146.06,Longlife Tofu,Produce
FOLKO,Folk och fä HB,Maria Larsson,Owner,00:00.0,15.2,0,3.67,Chang,Beverages
FOLKO,Folk och fä HB,Maria Larsson,Owner,00:00.0,7.7,0.15,3.67,Jack's New England Clam Chowder,Seafood
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,00:00.0,31.2,0,55.28,Alice Mutton,Meat/Poultry
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,00:00.0,12,0,55.28,Outback Lager,Beverages
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,00:00.0,30.4,0.05,25.73,Queso Manchego La Pastora,Dairy Products
FRANK,Frankenversand,Peter Franken,Marketing Manager,00:00.0,14.7,0,208.58,Boston Crab Meat,Seafood
FRANK,Frankenversand,Peter Franken,Marketing Manager,00:00.0,44,0.15,208.58,Raclette Courdavault,Dairy Products
FRANK,Frankenversand,Peter Franken,Marketing Manager,00:00.0,14.4,0.15,208.58,Lakkalikööri,Beverages
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,00:00.0,99,0,66.29,Thüringer Rostbratwurst,Meat/Poultry
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,00:00.0,27.8,0,66.29,Mozzarella di Giovanni,Dairy Products
WHITC,White Clover Markets,Karl Jablonski,Owner,00:00.0,2,0.05,4.56,Geitost,Dairy Products
WHITC,White Clover Markets,Karl Jablonski,Owner,00:00.0,27.8,0.05,4.56,Mozzarella di Giovanni,Dairy Products
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,00:00.0,15.2,0,136.54,Inlagd Sill,Seafood
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,00:00.0,36.8,0,136.54,Ipoh Coffee,Beverages
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,00:00.0,2,0,4.54,Geitost,Dairy Products
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,64.8,0,98.03,Sir Rodney's Marmalade,Confections
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,10,0,98.03,Gorgonzola Telino,Dairy Products
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,27.8,0,98.03,Mozzarella di Giovanni,Dairy Products
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,00:00.0,24.8,0.05,76.07,Ikura,Seafood
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,00:00.0,10,0.05,76.07,Gorgonzola Telino,Dairy Products
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,00:00.0,2,0,76.07,Geitost,Dairy Products
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,00:00.0,14.7,0.05,76.07,Boston Crab Meat,Seafood
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,00:00.0,14.4,0.05,76.07,Lakkalikööri,Beverages
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,00:00.0,17.2,0,6.01,Flotemysost,Dairy Products
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,00:00.0,27.8,0,6.01,Mozzarella di Giovanni,Dairy Products
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,00:00.0,3.6,0.05,26.93,Guaraná Fantástica,Beverages
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,00:00.0,44,0.05,26.93,Raclette Courdavault,Dairy Products
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,00:00.0,24.8,0,13.84,Ikura,Seafood
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,00:00.0,4.8,0,13.84,Konbu,Seafood
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,00:00.0,36.4,0,125.77,Rössle Sauerkraut,Produce
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,00:00.0,39.4,0,125.77,Tarte au sucre,Confections
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,00:00.0,15.5,0,92.69,Gula Malacca,Condiments
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,00:00.0,44,0,92.69,Raclette Courdavault,Dairy Products
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,00:00.0,35.1,0,92.69,Vegie-spread,Condiments
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,00:00.0,12,0,92.69,Röd Kaviar,Seafood
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,00:00.0,31.2,0.25,25.83,Alice Mutton,Meat/Poultry
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,00:00.0,3.6,0,8.98,Guaraná Fantástica,Beverages
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,00:00.0,19.2,0,8.98,Pâté chinois,Meat/Poultry
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,00:00.0,6.2,0,8.98,Rhönbräu Klosterbier,Beverages
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,00:00.0,7.3,0,2.94,Teatime Chocolate Biscuits,Confections
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,00:00.0,3.6,0,2.94,Guaraná Fantástica,Beverages
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,00:00.0,14.4,0,2.94,Steeleye Stout,Beverages
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,00:00.0,20.7,0,12.69,Nord-Ost Matjeshering,Seafood
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,00:00.0,15.6,0,12.69,Ravioli Angelo,Grains/Cereals
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,00:00.0,12.4,0,84.81,Genen Shouyu,Condiments
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,00:00.0,7.3,0,84.81,Teatime Chocolate Biscuits,Confections
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,00:00.0,27.2,0,84.81,Camembert Pierrot,Dairy Products
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,00:00.0,27.8,0,84.81,Mozzarella di Giovanni,Dairy Products
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,00:00.0,35.1,0.25,76.56,Schoggi Schokolade,Confections
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,00:00.0,15.5,0,76.56,Gula Malacca,Condiments
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,00:00.0,27.2,0.25,76.56,Camembert Pierrot,Dairy Products
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,00:00.0,11.2,0.25,76.56,Laughing Lumberjack Lager,Beverages
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,00:00.0,14.4,0.2,76.83,Chai,Beverages
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,00:00.0,14.7,0.2,76.83,Boston Crab Meat,Seafood
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,00:00.0,26.2,0.2,76.83,Perth Pasties,Meat/Poultry
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,00:00.0,14.4,0,229.24,Steeleye Stout,Beverages
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,00:00.0,39.4,0,229.24,Tarte au sucre,Confections
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,00:00.0,13.9,0.15,12.76,Pavlova,Confections
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,00:00.0,11.2,0,12.76,Sasquatch Ale,Beverages
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,00:00.0,9.6,0.15,12.76,Spegesild,Seafood
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,00:00.0,5.9,0.1,7.45,Tourtière,Meat/Poultry
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,00:00.0,10,0.1,7.45,Scottish Longbreads,Confections
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,00:00.0,8,0,22.77,Aniseed Syrup,Condiments
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,00:00.0,26.6,0,22.77,Wimmers gute Semmelknödel,Grains/Cereals
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,00:00.0,17,0,79.7,Chef Anton's Gumbo Mix,Condiments
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,00:00.0,99,0,79.7,Thüringer Rostbratwurst,Meat/Poultry
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,00:00.0,16,0,79.7,Maxilaku,Confections
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,00:00.0,10.4,0,79.7,Original Frankfurter grüne Soße,Condiments
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,00:00.0,4.8,0.1,6.4,Konbu,Seafood
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,00:00.0,15.5,0.1,6.4,Gula Malacca,Condiments
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,00:00.0,42.4,0.1,6.4,Manjimup Dried Apples,Produce
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,00:00.0,64.8,0,1.35,Sir Rodney's Marmalade,Confections
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,00:00.0,50,0,21.18,Carnarvon Tigers,Seafood
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,00:00.0,3.6,0,21.18,Guaraná Fantástica,Beverages
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,00:00.0,35.1,0,21.18,Vegie-spread,Condiments
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,00:00.0,6.2,0,21.18,Rhönbräu Klosterbier,Beverages
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,14.4,0,147.26,Chai,Beverages
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,31.2,0,147.26,Alice Mutton,Meat/Poultry
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,36.8,0,147.26,Ipoh Coffee,Beverages
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,27.2,0,147.26,Camembert Pierrot,Dairy Products
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,6.2,0,147.26,Rhönbräu Klosterbier,Beverages
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,00:00.0,30.4,0,1.15,Gnocchi di nonna Alice,Grains/Cereals
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,00:00.0,16.8,0,0.12,Queso Cabrales,Dairy Products
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,00:00.0,13.9,0,0.12,Pavlova,Confections
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,00:00.0,28.8,0,0.12,Gudbrandsdalsost,Dairy Products
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,00:00.0,14.4,0,5.74,Chartreuse verte,Beverages
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,00:00.0,27.8,0,5.74,Mozzarella di Giovanni,Dairy Products
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,00:00.0,15.2,0,168.22,Chang,Beverages
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,00:00.0,15.2,0.25,168.22,Inlagd Sill,Seafood
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,00:00.0,44,0.25,168.22,Raclette Courdavault,Dairy Products
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,00:00.0,39.4,0,168.22,Tarte au sucre,Confections
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,00:00.0,7.3,0,29.76,Teatime Chocolate Biscuits,Confections
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,00:00.0,12,0,29.76,Outback Lager,Beverages
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,00:00.0,13.6,0,17.68,Louisiana Hot Spiced Okra,Condiments
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,00:00.0,10,0,17.68,Scottish Longbreads,Confections
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,00:00.0,14.7,0,45.08,Boston Crab Meat,Seafood
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,00:00.0,30.4,0,45.08,Gnocchi di nonna Alice,Grains/Cereals
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,00:00.0,31.2,0,6.27,Alice Mutton,Meat/Poultry
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,00:00.0,36.4,0,6.27,Rössle Sauerkraut,Produce
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,00:00.0,36.8,0,6.27,Ipoh Coffee,Beverages
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,00:00.0,14.7,0.1,107.83,Boston Crab Meat,Seafood
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,00:00.0,16.8,0.1,107.83,Louisiana Fiery Hot Pepper Sauce,Condiments
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,00:00.0,10,0.1,107.83,Scottish Longbreads,Confections
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,00:00.0,16,0,63.79,Maxilaku,Confections
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,00:00.0,44,0,63.79,Raclette Courdavault,Dairy Products
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,00:00.0,17.2,0,63.79,Flotemysost,Dairy Products
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,00:00.0,50,0.1,257.62,Carnarvon Tigers,Seafood
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,00:00.0,99,0.1,257.62,Thüringer Rostbratwurst,Meat/Poultry
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,00:00.0,14.4,0.1,257.62,Chartreuse verte,Beverages
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,00:00.0,20.7,0,7.56,Nord-Ost Matjeshering,Seafood
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,00:00.0,26.2,0,7.56,Perth Pasties,Meat/Poultry
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,00:00.0,5.9,0,7.56,Tourtière,Meat/Poultry
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,00:00.0,39.4,0,0.56,Tarte au sucre,Confections
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,00:00.0,10,0,0.56,Scottish Longbreads,Confections
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,00:00.0,28.8,0,1.61,Gudbrandsdalsost,Dairy Products
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,00:00.0,12,0,1.61,Outback Lager,Beverages
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,00:00.0,17.6,0,47.3,Chef Anton's Cajun Seasoning,Condiments
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,00:00.0,20,0,47.3,Grandma's Boysenberry Spread,Condiments
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,00:00.0,11.2,0,47.3,Singaporean Hokkien Fried Mee,Grains/Cereals
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,00:00.0,36.8,0,47.3,Ipoh Coffee,Beverages
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,00:00.0,17.2,0,47.3,Flotemysost,Dairy Products
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,00:00.0,13.9,0,17.52,Pavlova,Confections
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,00:00.0,39.4,0,17.52,Tarte au sucre,Confections
DUMON,Du monde entier,Janine Labrune,Owner,00:00.0,11.2,0,24.69,Singaporean Hokkien Fried Mee,Grains/Cereals
DUMON,Du monde entier,Janine Labrune,Owner,00:00.0,28.8,0,24.69,Gudbrandsdalsost,Dairy Products
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,00:00.0,36.4,0,40.26,Rössle Sauerkraut,Produce
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,00:00.0,36.8,0,40.26,Ipoh Coffee,Beverages
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,00:00.0,26.2,0,40.26,Perth Pasties,Meat/Poultry
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,00:00.0,6.2,0,40.26,Rhönbräu Klosterbier,Beverages
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,00:00.0,15.2,0,1.96,Inlagd Sill,Seafood
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,25.6,0.1,74.16,Mascarpone Fabioli,Dairy Products
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,10.6,0.1,74.16,Escargots de Bourgogne,Seafood
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,39.4,0.1,74.16,Tarte au sucre,Confections
ISLAT,Island Trading,Helen Bennett,Marketing Manager,00:00.0,11.2,0,41.76,Sasquatch Ale,Beverages
ISLAT,Island Trading,Helen Bennett,Marketing Manager,00:00.0,12,0,41.76,Outback Lager,Beverages
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,7.7,0,150.15,Jack's New England Clam Chowder,Seafood
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,00:00.0,39.4,0,150.15,Tarte au sucre,Confections
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,00:00.0,14.4,0,12.69,Chai,Beverages
ISLAT,Island Trading,Helen Bennett,Marketing Manager,00:00.0,7.7,0,4.73,Jack's New England Clam Chowder,Seafood
ISLAT,Island Trading,Helen Bennett,Marketing Manager,00:00.0,14.4,0,4.73,Lakkalikööri,Beverages
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,00:00.0,31.2,0,64.5,Alice Mutton,Meat/Poultry
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,00:00.0,36.4,0,64.5,Rössle Sauerkraut,Produce
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,00:00.0,14.4,0,64.5,Lakkalikööri,Beverages
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,00:00.0,17.2,0,34.57,Flotemysost,Dairy Products
ISLAT,Island Trading,Helen Bennett,Marketing Manager,00:00.0,14.4,0,3.43,Steeleye Stout,Beverages
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,00:00.0,5.6,0,0.4,Filo Mix,Grains/Cereals
KOENE,Königlich Essen,Philip Cramer,Sales Associate,00:00.0,12.4,0,4.88,Genen Shouyu,Condiments
KOENE,Königlich Essen,Philip Cramer,Sales Associate,00:00.0,11.2,0,4.88,NuNuCa Nuß-Nougat-Creme,Confections
KOENE,Königlich Essen,Philip Cramer,Sales Associate,00:00.0,14.4,0,4.88,Chartreuse verte,Beverages
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,00:00.0,13.9,0.15,214.27,Pavlova,Confections
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,00:00.0,14.4,0.15,214.27,Steeleye Stout,Beverages
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,00:00.0,9.6,0,214.27,Spegesild,Seafood
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,00:00.0,44,0.15,214.27,Raclette Courdavault,Dairy Products
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,00:00.0,35.1,0.15,214.27,Vegie-spread,Condiments
KOENE,Königlich Essen,Philip Cramer,Sales Associate,00:00.0,20,0,64.86,Grandma's Boysenberry Spread,Condiments
KOENE,Königlich Essen,Philip Cramer,Sales Associate,00:00.0,4.8,0,64.86,Konbu,Seafood
KOENE,Königlich Essen,Philip Cramer,Sales Associate,00:00.0,18.6,0,64.86,Tofu,Produce
KOENE,Königlich Essen,Philip Cramer,Sales Associate,00:00.0,10,0,64.86,Gorgonzola Telino,Dairy Products
KOENE,Königlich Essen,Philip Cramer,Sales Associate,00:00.0,27.8,0,64.86,Mozzarella di Giovanni,Dairy Products
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,00:00.0,17.6,0,77.92,Chef Anton's Cajun Seasoning,Condiments
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,00:00.0,15.6,0,77.92,Ravioli Angelo,Grains/Cereals
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,00:00.0,6.2,0,77.92,Rhönbräu Klosterbier,Beverages
FOLKO,Folk och fä HB,Maria Larsson,Owner,00:00.0,15.2,0.2,63.36,Chang,Beverages
FOLKO,Folk och fä HB,Maria Larsson,Owner,00:00.0,16.8,0.2,63.36,Queso Cabrales,Dairy Products
FOLKO,Folk och fä HB,Maria Larsson,Owner,00:00.0,20.7,0.2,63.36,Nord-Ost Matjeshering,Seafood
FOLKO,Folk och fä HB,Maria Larsson,Owner,00:00.0,10.6,0.2,63.36,Escargots de Bourgogne,Seafood
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,00:00.0,44,0,87.03,Raclette Courdavault,Dairy Products
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,00:00.0,16.8,0,87.03,Louisiana Fiery Hot Pepper Sauce,Condiments
