Customer Id,Customer,Contact,Contact Title,Order Date,Order Id,Category,Product,Sales Price,Quantity,Discount
FRANK,Frankenversand,Peter Franken,Marketing Manager,7/29/1996,10267,Seafood,Boston Crab Meat,14.7,50,0
FRANK,Frankenversand,Peter Franken,Marketing Manager,7/29/1996,10267,Dairy Products,Raclette Courdavault,44,70,0.15
FRANK,Frankenversand,Peter Franken,Marketing Manager,7/29/1996,10267,Beverages,Lakkalikööri,14.4,15,0.15
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,7/30/1996,10268,Meat/Poultry,Thüringer Rostbratwurst,99,10,0
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,7/30/1996,10268,Dairy Products,Mozzarella di Giovanni,27.8,4,0
WHITC,White Clover Markets,Karl Jablonski,Owner,7/31/1996,10269,Dairy Products,Geitost,2,60,0.05
WHITC,White Clover Markets,Karl Jablonski,Owner,7/31/1996,10269,Dairy Products,Mozzarella di Giovanni,27.8,20,0.05
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,8/1/1996,10270,Seafood,Inlagd Sill,15.2,30,0
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,8/1/1996,10270,Beverages,Ipoh Coffee,36.8,25,0
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,8/1/1996,10271,Dairy Products,Geitost,2,24,0
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,8/2/1996,10272,Confections,Sir Rodney's Marmalade,64.8,6,0
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,8/2/1996,10272,Dairy Products,Gorgonzola Telino,10,40,0
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,8/2/1996,10272,Dairy Products,Mozzarella di Giovanni,27.8,24,0
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,8/5/1996,10273,Seafood,Ikura,24.8,24,0.05
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,8/5/1996,10273,Dairy Products,Gorgonzola Telino,10,15,0.05
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,8/5/1996,10273,Dairy Products,Geitost,2,20,0
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,8/5/1996,10273,Seafood,Boston Crab Meat,14.7,60,0.05
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,8/5/1996,10273,Beverages,Lakkalikööri,14.4,33,0.05
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,8/6/1996,10274,Dairy Products,Flotemysost,17.2,20,0
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,8/6/1996,10274,Dairy Products,Mozzarella di Giovanni,27.8,7,0
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,8/7/1996,10275,Beverages,Guaraná Fantástica,3.6,12,0.05
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,8/7/1996,10275,Dairy Products,Raclette Courdavault,44,6,0.05
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,8/8/1996,10276,Seafood,Ikura,24.8,15,0
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,8/8/1996,10276,Seafood,Konbu,4.8,10,0
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,8/9/1996,10277,Produce,Rössle Sauerkraut,36.4,20,0
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,8/9/1996,10277,Confections,Tarte au sucre,39.4,12,0
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,8/12/1996,10278,Condiments,Gula Malacca,15.5,16,0
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,8/12/1996,10278,Dairy Products,Raclette Courdavault,44,15,0
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,8/12/1996,10278,Condiments,Vegie-spread,35.1,8,0
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,8/12/1996,10278,Seafood,Röd Kaviar,12,25,0
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,8/13/1996,10279,Meat/Poultry,Alice Mutton,31.2,15,0.25
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,8/14/1996,10280,Beverages,Guaraná Fantástica,3.6,12,0
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,8/14/1996,10280,Meat/Poultry,Pâté chinois,19.2,20,0
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,8/14/1996,10280,Beverages,Rhönbräu Klosterbier,6.2,30,0
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,8/14/1996,10281,Confections,Teatime Chocolate Biscuits,7.3,1,0
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,8/14/1996,10281,Beverages,Guaraná Fantástica,3.6,6,0
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,8/14/1996,10281,Beverages,Steeleye Stout,14.4,4,0
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,8/15/1996,10282,Seafood,Nord-Ost Matjeshering,20.7,6,0
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,8/15/1996,10282,Grains/Cereals,Ravioli Angelo,15.6,2,0
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,8/16/1996,10283,Condiments,Genen Shouyu,12.4,20,0
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,8/16/1996,10283,Confections,Teatime Chocolate Biscuits,7.3,18,0
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,8/16/1996,10283,Dairy Products,Camembert Pierrot,27.2,35,0
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,8/16/1996,10283,Dairy Products,Mozzarella di Giovanni,27.8,3,0
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,8/19/1996,10284,Confections,Schoggi Schokolade,35.1,15,0.25
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,8/19/1996,10284,Condiments,Gula Malacca,15.5,21,0
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,8/19/1996,10284,Dairy Products,Camembert Pierrot,27.2,20,0.25
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,8/19/1996,10284,Beverages,Laughing Lumberjack Lager,11.2,5,0.25
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,8/20/1996,10285,Beverages,Chai,14.4,45,0.2
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,8/20/1996,10285,Seafood,Boston Crab Meat,14.7,40,0.2
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,8/20/1996,10285,Meat/Poultry,Perth Pasties,26.2,36,0.2
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,8/21/1996,10286,Beverages,Steeleye Stout,14.4,100,0
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,8/21/1996,10286,Confections,Tarte au sucre,39.4,40,0
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,8/22/1996,10287,Confections,Pavlova,13.9,40,0.15
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,8/22/1996,10287,Beverages,Sasquatch Ale,11.2,20,0
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,8/22/1996,10287,Seafood,Spegesild,9.6,15,0.15
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,8/23/1996,10288,Meat/Poultry,Tourtière,5.9,10,0.1
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,8/23/1996,10288,Confections,Scottish Longbreads,10,3,0.1
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,8/26/1996,10289,Condiments,Aniseed Syrup,8,30,0
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,8/26/1996,10289,Grains/Cereals,Wimmers gute Semmelknödel,26.6,9,0
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,8/27/1996,10290,Condiments,Chef Anton's Gumbo Mix,17,20,0
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,8/27/1996,10290,Meat/Poultry,Thüringer Rostbratwurst,99,15,0
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,8/27/1996,10290,Confections,Maxilaku,16,15,0
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,8/27/1996,10290,Condiments,Original Frankfurter grüne Soße,10.4,10,0
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,8/27/1996,10291,Seafood,Konbu,4.8,20,0.1
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,8/27/1996,10291,Condiments,Gula Malacca,15.5,24,0.1
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,8/27/1996,10291,Produce,Manjimup Dried Apples,42.4,2,0.1
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,8/28/1996,10292,Confections,Sir Rodney's Marmalade,64.8,20,0
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,8/29/1996,10293,Seafood,Carnarvon Tigers,50,12,0
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,8/29/1996,10293,Beverages,Guaraná Fantástica,3.6,10,0
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,8/29/1996,10293,Condiments,Vegie-spread,35.1,5,0
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,8/29/1996,10293,Beverages,Rhönbräu Klosterbier,6.2,6,0
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,8/30/1996,10294,Beverages,Chai,14.4,18,0
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,8/30/1996,10294,Meat/Poultry,Alice Mutton,31.2,15,0
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,8/30/1996,10294,Beverages,Ipoh Coffee,36.8,15,0
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,8/30/1996,10294,Dairy Products,Camembert Pierrot,27.2,21,0
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,8/30/1996,10294,Beverages,Rhönbräu Klosterbier,6.2,6,0
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,9/2/1996,10295,Grains/Cereals,Gnocchi di nonna Alice,30.4,4,0
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,9/3/1996,10296,Dairy Products,Queso Cabrales,16.8,12,0
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,9/3/1996,10296,Confections,Pavlova,13.9,30,0
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,9/3/1996,10296,Dairy Products,Gudbrandsdalsost,28.8,15,0
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,9/4/1996,10297,Beverages,Chartreuse verte,14.4,60,0
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,9/4/1996,10297,Dairy Products,Mozzarella di Giovanni,27.8,20,0
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,9/5/1996,10298,Beverages,Chang,15.2,40,0
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,9/5/1996,10298,Seafood,Inlagd Sill,15.2,40,0.25
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,9/5/1996,10298,Dairy Products,Raclette Courdavault,44,30,0.25
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,9/5/1996,10298,Confections,Tarte au sucre,39.4,15,0
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,9/6/1996,10299,Confections,Teatime Chocolate Biscuits,7.3,15,0
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,9/6/1996,10299,Beverages,Outback Lager,12,20,0
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,9/9/1996,10300,Condiments,Louisiana Hot Spiced Okra,13.6,30,0
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,9/9/1996,10300,Confections,Scottish Longbreads,10,20,0
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,9/9/1996,10301,Seafood,Boston Crab Meat,14.7,10,0
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,9/9/1996,10301,Grains/Cereals,Gnocchi di nonna Alice,30.4,20,0
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,9/10/1996,10302,Meat/Poultry,Alice Mutton,31.2,40,0
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,9/10/1996,10302,Produce,Rössle Sauerkraut,36.4,28,0
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,9/10/1996,10302,Beverages,Ipoh Coffee,36.8,12,0
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,9/11/1996,10303,Seafood,Boston Crab Meat,14.7,40,0.1
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,9/11/1996,10303,Condiments,Louisiana Fiery Hot Pepper Sauce,16.8,30,0.1
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,9/11/1996,10303,Confections,Scottish Longbreads,10,15,0.1
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,9/12/1996,10304,Confections,Maxilaku,16,30,0
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,9/12/1996,10304,Dairy Products,Raclette Courdavault,44,10,0
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,9/12/1996,10304,Dairy Products,Flotemysost,17.2,2,0
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,9/13/1996,10305,Seafood,Carnarvon Tigers,50,25,0.1
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,9/13/1996,10305,Meat/Poultry,Thüringer Rostbratwurst,99,25,0.1
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,9/13/1996,10305,Beverages,Chartreuse verte,14.4,30,0.1
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,9/16/1996,10306,Seafood,Nord-Ost Matjeshering,20.7,10,0
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,9/16/1996,10306,Meat/Poultry,Perth Pasties,26.2,10,0
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,9/16/1996,10306,Meat/Poultry,Tourtière,5.9,5,0
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,9/17/1996,10307,Confections,Tarte au sucre,39.4,10,0
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,9/17/1996,10307,Confections,Scottish Longbreads,10,3,0
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,9/18/1996,10308,Dairy Products,Gudbrandsdalsost,28.8,1,0
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,9/18/1996,10308,Beverages,Outback Lager,12,5,0
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,9/19/1996,10309,Condiments,Chef Anton's Cajun Seasoning,17.6,20,0
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,9/19/1996,10309,Condiments,Grandma's Boysenberry Spread,20,30,0
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,9/19/1996,10309,Grains/Cereals,Singaporean Hokkien Fried Mee,11.2,2,0
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,9/19/1996,10309,Beverages,Ipoh Coffee,36.8,20,0
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,9/19/1996,10309,Dairy Products,Flotemysost,17.2,3,0
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,9/20/1996,10310,Confections,Pavlova,13.9,10,0
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,9/20/1996,10310,Confections,Tarte au sucre,39.4,5,0
DUMON,Du monde entier,Janine Labrune,Owner,9/20/1996,10311,Grains/Cereals,Singaporean Hokkien Fried Mee,11.2,6,0
DUMON,Du monde entier,Janine Labrune,Owner,9/20/1996,10311,Dairy Products,Gudbrandsdalsost,28.8,7,0
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,9/23/1996,10312,Produce,Rössle Sauerkraut,36.4,4,0
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,9/23/1996,10312,Beverages,Ipoh Coffee,36.8,24,0
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,9/23/1996,10312,Meat/Poultry,Perth Pasties,26.2,20,0
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,9/23/1996,10312,Beverages,Rhönbräu Klosterbier,6.2,10,0
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,9/24/1996,10313,Seafood,Inlagd Sill,15.2,12,0
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,9/25/1996,10314,Dairy Products,Mascarpone Fabioli,25.6,40,0.1
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,9/25/1996,10314,Seafood,Escargots de Bourgogne,10.6,30,0.1
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,9/25/1996,10314,Confections,Tarte au sucre,39.4,25,0.1
ISLAT,Island Trading,Helen Bennett,Marketing Manager,9/26/1996,10315,Beverages,Sasquatch Ale,11.2,14,0
ISLAT,Island Trading,Helen Bennett,Marketing Manager,9/26/1996,10315,Beverages,Outback Lager,12,30,0
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,9/27/1996,10316,Seafood,Jack's New England Clam Chowder,7.7,10,0
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,9/27/1996,10316,Confections,Tarte au sucre,39.4,70,0
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,9/30/1996,10317,Beverages,Chai,14.4,20,0
ISLAT,Island Trading,Helen Bennett,Marketing Manager,10/1/1996,10318,Seafood,Jack's New England Clam Chowder,7.7,20,0
ISLAT,Island Trading,Helen Bennett,Marketing Manager,10/1/1996,10318,Beverages,Lakkalikööri,14.4,6,0
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,10/2/1996,10319,Meat/Poultry,Alice Mutton,31.2,8,0
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,10/2/1996,10319,Produce,Rössle Sauerkraut,36.4,14,0
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,10/2/1996,10319,Beverages,Lakkalikööri,14.4,30,0
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,10/3/1996,10320,Dairy Products,Flotemysost,17.2,30,0
ISLAT,Island Trading,Helen Bennett,Marketing Manager,10/3/1996,10321,Beverages,Steeleye Stout,14.4,10,0
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,10/4/1996,10322,Grains/Cereals,Filo Mix,5.6,20,0
KOENE,Königlich Essen,Philip Cramer,Sales Associate,10/7/1996,10323,Condiments,Genen Shouyu,12.4,5,0
KOENE,Königlich Essen,Philip Cramer,Sales Associate,10/7/1996,10323,Confections,NuNuCa Nuß-Nougat-Creme,11.2,4,0
KOENE,Königlich Essen,Philip Cramer,Sales Associate,10/7/1996,10323,Beverages,Chartreuse verte,14.4,4,0
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,10/8/1996,10324,Confections,Pavlova,13.9,21,0.15
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,10/8/1996,10324,Beverages,Steeleye Stout,14.4,70,0.15
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,10/8/1996,10324,Seafood,Spegesild,9.6,30,0
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,10/8/1996,10324,Dairy Products,Raclette Courdavault,44,40,0.15
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,10/8/1996,10324,Condiments,Vegie-spread,35.1,80,0.15
KOENE,Königlich Essen,Philip Cramer,Sales Associate,10/9/1996,10325,Condiments,Grandma's Boysenberry Spread,20,6,0
KOENE,Königlich Essen,Philip Cramer,Sales Associate,10/9/1996,10325,Seafood,Konbu,4.8,12,0
KOENE,Königlich Essen,Philip Cramer,Sales Associate,10/9/1996,10325,Produce,Tofu,18.6,9,0
KOENE,Königlich Essen,Philip Cramer,Sales Associate,10/9/1996,10325,Dairy Products,Gorgonzola Telino,10,4,0
KOENE,Königlich Essen,Philip Cramer,Sales Associate,10/9/1996,10325,Dairy Products,Mozzarella di Giovanni,27.8,40,0
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,10/10/1996,10326,Condiments,Chef Anton's Cajun Seasoning,17.6,24,0
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,10/10/1996,10326,Grains/Cereals,Ravioli Angelo,15.6,16,0
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,10/10/1996,10326,Beverages,Rhönbräu Klosterbier,6.2,50,0
